G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                              41         1.1571243660      0.5000000000      0.0000000000      0.5000000000
U                              55         1.5662296089      0.6250000000      0.2500000000      0.6250000000
K                              56         1.5662296089      0.3750000000      0.3750000000      0.7500000000
G                              98         2.7935453377      0.0000000000      0.0000000000      0.0000000000
L                             133         3.7956444339      0.5000000000      0.5000000000      0.5000000000
W                             161         4.6138549198      0.5000000000      0.2500000000      0.7500000000
X                             181         5.1924171028      0.5000000000      0.0000000000      0.5000000000
