0.0000 -0.0000 13.4642
0.4339 0.2858 13.6354
0.8662 0.6355 14.1802
1.2953 1.1582 15.2076
1.7198 2.1370 16.9564
2.1384 4.5605 19.6819
2.5507 10.4151 21.7922
2.9557 17.7090 18.4091
3.3537 20.5537 14.6953
3.7445 27.6883 8.2818
4.1284 25.3047 -5.1340
4.5060 15.3516 -9.6291
4.8781 9.4564 -7.8145
5.2456 6.5609 -5.5576
5.6095 5.6303 -3.4357
5.9708 5.8306 -2.1305
6.3309 6.7506 -2.0315
6.6909 6.8239 -3.2871
7.0524 5.6942 -4.1596
7.4168 4.5623 -4.3515
7.7858 3.3840 -4.3451
8.1611 2.2961 -3.8305
8.5448 1.6907 -3.0522
8.9390 1.5162 -2.4688
9.3459 1.3431 -2.1252
9.7686 1.1939 -1.7810
10.2096 1.1407 -1.5219
10.6734 1.0581 -1.3889
11.1635 0.8820 -1.2866
11.6848 0.6414 -1.0781
12.2430 0.5215 -0.7805
12.8459 0.5141 -0.5431
13.5013 0.5356 -0.4168
14.2201 0.4623 -0.3418
15.0150 0.3880 -0.2211
15.9035 0.3123 -0.0909
16.9060 0.2736 0.0388
18.0505 0.2443 0.1335
19.3746 0.1787 0.2132
20.9277 0.1148 0.3309
22.7800 0.0790 0.4471
25.0309 0.0532 0.5454
27.8293 0.0325 0.6435
31.4039 0.0253 0.7297
36.1296 0.0237 0.8002
42.6641 0.0210 0.8540
52.2733 0.0134 0.8982
67.7540 0.0059 0.9370
96.7418 0.0003 0.9686
170.1783 0.0000 0.9903
