0.0000 0.0000 14.8743
0.4339 0.3272 15.0701
0.8662 0.7283 15.6937
1.2953 1.3297 16.8712
1.7198 2.4603 18.8795
2.1384 5.2698 22.0152
2.5507 12.0734 24.3968
2.9557 20.3343 20.5446
3.3537 24.6766 16.4811
3.7445 32.5971 6.2291
4.1284 26.4677 -8.1311
4.5060 15.5993 -10.9748
4.8781 9.8540 -8.6068
5.2456 7.0752 -6.0475
5.6095 6.4332 -3.8165
5.9708 7.0325 -2.7226
6.3309 7.9447 -3.5215
6.6909 6.9723 -5.0906
7.0524 5.2615 -5.4308
7.4168 3.9815 -5.1729
7.7858 2.8596 -4.7468
8.1611 1.9966 -4.0243
8.5448 1.5712 -3.2247
8.9390 1.4720 -2.6879
9.3459 1.3127 -2.3598
9.7686 1.1834 -2.0335
10.2096 1.1031 -1.8203
10.6734 0.9326 -1.6639
11.1635 0.7352 -1.4587
11.6848 0.5566 -1.1922
12.2430 0.4878 -0.9079
12.8459 0.4867 -0.7037
13.5013 0.4724 -0.5962
14.2201 0.3680 -0.4927
15.0150 0.2807 -0.3446
15.9035 0.1997 -0.1947
16.9060 0.1402 -0.0319
18.0505 0.1143 0.1183
19.3746 0.0955 0.2401
20.9277 0.0671 0.3511
22.7800 0.0439 0.4641
25.0309 0.0360 0.5673
27.8293 0.0287 0.6557
31.4039 0.0256 0.7337
36.1296 0.0237 0.7983
42.6641 0.0182 0.8519
52.2733 0.0110 0.8983
67.7540 0.0049 0.9376
96.7418 0.0003 0.9689
170.1783 0.0000 0.9903
